Title,RackName,DoorName,Position,Level,UketsukeNo,Hinban,Hinmei,KoushinNo,Customer,IsOccupied
"F北側ラック/⑥番扉/右/1段目手前","F北側ラック","⑥番扉","右","1段目手前","","","","","",No
"F北側ラック/⑤番扉/左/3段目","F北側ラック","⑤番扉","左","3段目","","","","","",No
"F北側ラック/⑤番扉/左/2段目","F北側ラック","⑤番扉","左","2段目","","","","","",No
"F北側ラック/⑤番扉/左/1段目奥","F北側ラック","⑤番扉","左","1段目奥","","","","","",No
"F北側ラック/⑤番扉/左/1段目手前","F北側ラック","⑤番扉","左","1段目手前","","","","","",No
"F北側ラック/⑤番扉/中央/3段目","F北側ラック","⑤番扉","中央","3段目","","","","","",No
"F北側ラック/⑤番扉/中央/2段目","F北側ラック","⑤番扉","中央","2段目","","","","","",No
"F北側ラック/⑤番扉/中央/1段目奥","F北側ラック","⑤番扉","中央","1段目奥","","","","","",No
"F北側ラック/⑤番扉/中央/1段目手前","F北側ラック","⑤番扉","中央","1段目手前","","","","","",No
"F北側ラック/⑤番扉/右/3段目","F北側ラック","⑤番扉","右","3段目","","","","","",No
"F北側ラック/⑤番扉/右/2段目","F北側ラック","⑤番扉","右","2段目","","","","","",No
"F北側ラック/⑤番扉/右/1段目奥","F北側ラック","⑤番扉","右","1段目奥","","","","","",No
"F北側ラック/⑤番扉/右/1段目手前","F北側ラック","⑤番扉","右","1段目手前","","","","","",No
"F南側ラック/③番扉/左/3段目","F南側ラック","③番扉","左","3段目","","","","","",No
"F南側ラック/③番扉/左/2段目","F南側ラック","③番扉","左","2段目","","","","","",No
"F南側ラック/③番扉/左/1段目奥","F南側ラック","③番扉","左","1段目奥","","","","","",No
"F南側ラック/③番扉/左/1段目手前","F南側ラック","③番扉","左","1段目手前","","","","","",No
"F南側ラック/③番扉/中央/3段目","F南側ラック","③番扉","中央","3段目","","","","","",No
"F南側ラック/③番扉/中央/2段目","F南側ラック","③番扉","中央","2段目","","","","","",No
"F南側ラック/③番扉/中央/1段目奥","F南側ラック","③番扉","中央","1段目奥","","","","","",No
"F南側ラック/③番扉/中央/1段目手前","F南側ラック","③番扉","中央","1段目手前","","","","","",No
"F南側ラック/③番扉/右/3段目","F南側ラック","③番扉","右","3段目","","","","","",No
"F南側ラック/③番扉/右/2段目","F南側ラック","③番扉","右","2段目","","","","","",No
"F南側ラック/③番扉/右/1段目奥","F南側ラック","③番扉","右","1段目奥","","","","","",No
"F南側ラック/③番扉/右/1段目手前","F南側ラック","③番扉","右","1段目手前","","","","","",No
"F南側ラック/②番扉/左/3段目","F南側ラック","②番扉","左","3段目","","","","","",No
"F南側ラック/②番扉/左/2段目","F南側ラック","②番扉","左","2段目","","","","","",No
"F南側ラック/②番扉/左/1段目奥","F南側ラック","②番扉","左","1段目奥","","","","","",No
"F南側ラック/②番扉/左/1段目手前","F南側ラック","②番扉","左","1段目手前","","","","","",No
"F南側ラック/②番扉/中央/3段目","F南側ラック","②番扉","中央","3段目","","","","","",No
"F南側ラック/②番扉/中央/2段目","F南側ラック","②番扉","中央","2段目","","","","","",No
"F南側ラック/②番扉/中央/1段目奥","F南側ラック","②番扉","中央","1段目奥","","","","","",No
"F南側ラック/②番扉/中央/1段目手前","F南側ラック","②番扉","中央","1段目手前","","","","","",No
"F南側ラック/②番扉/右/3段目","F南側ラック","②番扉","右","3段目","","","","","",No
"F南側ラック/②番扉/右/2段目","F南側ラック","②番扉","右","2段目","","","","","",No
"F南側ラック/②番扉/右/1段目奥","F南側ラック","②番扉","右","1段目奥","","","","","",No
"F南側ラック/②番扉/右/1段目手前","F南側ラック","②番扉","右","1段目手前","","","","","",No
"F南側ラック/①番扉/左/3段目","F南側ラック","①番扉","左","3段目","","","","","",No
"F南側ラック/①番扉/左/2段目","F南側ラック","①番扉","左","2段目","","","","","",No
"F南側ラック/①番扉/左/1段目奥","F南側ラック","①番扉","左","1段目奥","","","","","",No
"F南側ラック/①番扉/左/1段目手前","F南側ラック","①番扉","左","1段目手前","","","","","",No
"F南側ラック/①番扉/中央/3段目","F南側ラック","①番扉","中央","3段目","","","","","",No
"F南側ラック/①番扉/中央/2段目","F南側ラック","①番扉","中央","2段目","","","","","",No
"F南側ラック/①番扉/中央/1段目奥","F南側ラック","①番扉","中央","1段目奥","","","","","",No
"F南側ラック/①番扉/中央/1段目手前","F南側ラック","①番扉","中央","1段目手前","","","","","",No
"F南側ラック/①番扉/右/3段目","F南側ラック","①番扉","右","3段目","","","","","",No
"F南側ラック/①番扉/右/2段目","F南側ラック","①番扉","右","2段目","","","","","",No
"F南側ラック/①番扉/右/1段目奥","F南側ラック","①番扉","右","1段目奥","","","","","",No
"F南側ラック/①番扉/右/1段目手前","F南側ラック","①番扉","右","1段目手前","","","","","",No
"G北側ラック/④番扉/左/2段目","G北側ラック","④番扉","左","2段目","","","","","",No
"G北側ラック/④番扉/左/1段目奥","G北側ラック","④番扉","左","1段目奥","","","","","",No
"G北側ラック/④番扉/左/1段目手前","G北側ラック","④番扉","左","1段目手前","","","","","",No
"G北側ラック/④番扉/中央/2段目","G北側ラック","④番扉","中央","2段目","","","","","",No
"G北側ラック/④番扉/中央/1段目奥","G北側ラック","④番扉","中央","1段目奥","","","","","",No
"G北側ラック/④番扉/中央/1段目手前","G北側ラック","④番扉","中央","1段目手前","","","","","",No
"G北側ラック/④番扉/右/2段目","G北側ラック","④番扉","右","2段目","","","","","",No
"G北側ラック/④番扉/右/1段目奥","G北側ラック","④番扉","右","1段目奥","","","","","",No
"G北側ラック/④番扉/右/1段目手前","G北側ラック","④番扉","右","1段目手前","","","","","",No
"G北側ラック/③番扉/左/2段目","G北側ラック","③番扉","左","2段目","","","","","",No
"G北側ラック/③番扉/左/1段目奥","G北側ラック","③番扉","左","1段目奥","","","","","",No
"G北側ラック/③番扉/左/1段目手前","G北側ラック","③番扉","左","1段目手前","","","","","",No
"G北側ラック/③番扉/中央/2段目","G北側ラック","③番扉","中央","2段目","","","","","",No
"G北側ラック/③番扉/中央/1段目奥","G北側ラック","③番扉","中央","1段目奥","","","","","",No
"G北側ラック/③番扉/中央/1段目手前","G北側ラック","③番扉","中央","1段目手前","","","","","",No
"G北側ラック/③番扉/右/2段目","G北側ラック","③番扉","右","2段目","","","","","",No
"G北側ラック/③番扉/右/1段目奥","G北側ラック","③番扉","右","1段目奥","","","","","",No
"G北側ラック/③番扉/右/1段目手前","G北側ラック","③番扉","右","1段目手前","","","","","",No
"G北側ラック/②番扉/左/2段目","G北側ラック","②番扉","左","2段目","","","","","",No
"G北側ラック/②番扉/左/1段目奥","G北側ラック","②番扉","左","1段目奥","","","","","",No
"G北側ラック/②番扉/左/1段目手前","G北側ラック","②番扉","左","1段目手前","","","","","",No
"G北側ラック/②番扉/中央/2段目","G北側ラック","②番扉","中央","2段目","","","","","",No
"G北側ラック/②番扉/中央/1段目奥","G北側ラック","②番扉","中央","1段目奥","","","","","",No
"G北側ラック/②番扉/中央/1段目手前","G北側ラック","②番扉","中央","1段目手前","","","","","",No
"G北側ラック/②番扉/右/2段目","G北側ラック","②番扉","右","2段目","","","","","",No
"G北側ラック/②番扉/右/1段目奥","G北側ラック","②番扉","右","1段目奥","","","","","",No
"G北側ラック/②番扉/右/1段目手前","G北側ラック","②番扉","右","1段目手前","","","","","",No
