Title,Hinban,Hinmei,KoushinNo,Customer,Maker,Status
"603","RF3264-14","HOLDER-RH","13","㈱プロスパイラマニュファクチャリング","テックアダチ","初品提出中"
"604","RF3264-14","HOLDER-RH","14","㈱プロスパイラマニュファクチャリング","テックアダチ","初品提出中"
"605","RF3265-14","HOLDER-LH","13","㈱プロスパイラマニュファクチャリング","テックアダチ","初品提出中"
"606","RF3265-14","HOLDER-LH","14","㈱プロスパイラマニュファクチャリング","テックアダチ","初品提出中"
"607","K2070B2A","NO.2 BRAKET","6","TOYO TIRE㈱","型技","引き渡し準備済"
"608","12306-B2150-11","エンジンサポートブラケット、LH","8","丸五ゴム","テックアダチ","引き渡し済"
"609","12306-B2150-11","エンジンサポートブラケット、LH","9","丸五ゴム","テックアダチ","引き渡し済"
"610","JT75","アーム","4","バンドー","型技","その他"
"611","GF600826-3","END PLATE","6","ビーグルエナジージャパン㈱","テックアダチ","ASSＹまち"
"612","VC-051A-02","NO.2　BRACKET","2","住友理工㈱","愛豊精機","合格済/予備ピン手配中"
"613","VC-051A-02","NO.2　BRACKET","3","住友理工㈱","愛豊精機","初品提出中"
"614","VC-052A-02","NO.2　BRACKET","3","住友理工㈱","愛豊精機","初品提出中"
"615","VC-052A-02","NO.2　BRACKET","2","住友理工㈱","愛豊精機","合格済/予備ピン手配中"
"616","40NR0050000","CSR8100ｽﾊﾟｲﾀﾞLOWB","5","シマノ","型技","寸検待ち"
"617","40NR0050000","CSR8100ｽﾊﾟｲﾀﾞLOWB","6","シマノ","型技","寸検待ち"
"618","079618-1380","スリーブバルブ１W","10","㈱光製作所","西岡精工","引き渡し準備済"
"619","079618-1380","スリーブバルブ１W","11","㈱光製作所","西岡精工","引き渡し準備済"
"620","079618-0750","スリーブ","22","㈱光製作所","西岡精工","引き渡し準備済"
"621","079618-0750","スリーブ","23","㈱光製作所","西岡精工","引き渡し準備済"
"622","15821-04995","ﾍﾞｱﾘﾝｸﾞｹｰｽ(ﾎｲﾙ2.ﾒｲﾝ）","7","井原精機","テックアダチ","初品提出中"
"623","48331-48080-RING","アルミリング","3","BASF INOACポリウレタン㈱","協正金型","その他"
"624","TQ-283-02","No.2　BRACKET","6","住友理工㈱","西岡精工","引き渡し準備済"
"625","TG-719-01","BRACKET","42","住友理工㈱","テックアダチ","合格済/予備ピン手配中"
"626","TG-719-01","BRACKET","43","住友理工㈱","テックアダチ","合格済/予備ピン手配中"
"627","TG-719-01","BRACKET","44","住友理工㈱","テックアダチ","合格済/予備ピン手配中"
"628","TK-362A-1","BRACKET","2","住友理工㈱","愛豊精機","引き渡し準備済"
"629","TK-363A-1","BRACKET","2","住友理工㈱","愛豊精機","引き渡し準備済"
"630","15821-04985","ﾍﾞｱﾘﾝｸﾞｹｰｽ(ﾎｲﾙ1.ﾒｲﾝ）","7","井原精機","テックアダチ","初品提出中"
"631","TK-199-04","BRACKET　No.２","4","住友理工㈱","西岡精工","合格済/予備ピン手配中"
"632","3P409041","軸受ハウジング","更新6次型（S21～24）","㈱天木鉄工","西岡精工","打ち合わせ待ち"
"633","A2028B2A","NO.2　BRACKET","更新2次型","TOYO TIRE㈱","西岡精工","初品提出中"
"634","K4007B0B","BRACKET(Lの字)","更新23次型（＃23）","TOYO TIRE㈱","フジイ金型","加工試作待ち"
"635","K4007B0B","BRACKET(Lの字)","更新24次型（＃24）","TOYO TIRE㈱","フジイ金型","加工試作待ち"
"636","K2068B1C","BRACKET（丸一）","更新9次型（＃9）","TOYO TIRE㈱","テックアダチ","加工試作待ち"
"637","K2068B1C","BRACKET（丸一）","更新10次型（＃10）","TOYO TIRE㈱","テックアダチ","加工試作待ち"
"638","VB-317A-01","BRACKET","更新2次型（＃2）","住友理工㈱","愛豊精機","初品提出中"
"639","HZ-312-01","BRKT,ENG SIDE MTG","更新4次型（＃7-8）","住友理工㈱","愛豊精機","引き渡し準備済"
"640","TJ-602-02","PLATE","更新5次型（＃34-41）","住友理工㈱","テックアダチ","初品提出中"
